====================     2021-02-26    ====================8ff694f  Update android binder + ashmem + lowmemorykiller  [kimocoder]
73d2bed  Merge changes  [kimocoder]
2a43af9  tty: ldisc: add sysctl to prevent autoloading of ldiscs  [Greg Kroah-Hartman]
440c475  tty: mark Siemens R3964 line discipline as BROKEN  [Greg Kroah-Hartman]
fff721d  lib/string.c: implement a basic bcmp  [Nick Desaulniers]
6e661019  binfmt_elf: switch to new creds when switching to new mm  [Linus Torvalds]
d8ab50c  drm/dp/mst: Configure no_stop_bit correctly for remote i2c xfers  [Ville Syrjälä]
a4f0f46  dmaengine: tegra: avoid overflow of byte tracking  [Ben Dooks]
c7ed803  x86/build: Mark per-CPU symbols as absolute explicitly for LLD  [Rafael Ávila de Espíndola]
e5fdb72  wlcore: Fix memory leak in case wl12xx_fetch_firmware failure  [Zumeng Chen]
1394675  media: s5p-jpeg: Check for fmt_ver_flag when doing fmt enumeration  [Pawe? Chmiel]
132d5d7  dmaengine: imx-dma: fix warning comparison of distinct pointer types  [Anders Roxell]
22f985d  hpet: Fix missing '=' character in the __setup() code of hpet_mmap_enable  [Buland Singh]
bb97506  hwrng: virtio - Avoid repeated init of completion  [David Tolnay]
fc7b150  media: mt9m111: set initial frame size other than 0x0  [Akinobu Mita]
2ab229c  tty: increase the default flip buffer limit to 2*640K  [Manfred Schlaegl]
f443ab6  cdrom: Fix race condition in cdrom_sysctl_register  [Guenter Roeck]
d2bcd58  fbdev: fbmem: fix memory access if logo is bigger than the screen  [Manfred Schlaegl]
0e70dff  bcache: improve sysfs_strtoul_clamp()  [Coly Li]
87fa771  bcache: fix input overflow to sequential_cutoff  [Coly Li]
9cf0045  bcache: fix input overflow to cache set sysfs file io_error_halflife  [Coly Li]
23bca44  ALSA: PCM: check if ops are defined before suspending PCM  [Ranjani Sridharan]
06c1723  ARM: 8833/1: Ensure that NEON code always compiles with Clang  [Nathan Chancellor]
559018b  kprobes: Prohibit probing on bsearch()  [Andrea Righi]
2ee50d6  leds: lp55xx: fix null deref on firmware load failure  [Michal Kazior]
e979a8a9  SoC: imx-sgtl5000: add missing put_device()  [Wen Yang]
d7fd6ad  scsi: megaraid_sas: return error when create DMA pool failed  [Jason Yan]
318e8f8  IB/mlx4: Increase the timeout for CM cache  [Håkon Bugge]
63e1745  e1000e: Fix -Wformat-truncation warnings  [Florian Fainelli]
fd2b120  mmc: omap: fix the maximum timeout setting  [Aaro Koskinen]
6427f1d  ARM: 8840/1: use a raw_spinlock_t in unwind  [Sebastian Andrzej Siewior]
9efefbb  scsi: core: replace GFP_ATOMIC with GFP_KERNEL in scsi_scan.c  [Benjamin Block]
6bba20e  tools lib traceevent: Fix buffer overflow in arg_eval  [Tony Jones]
89d2368  fs: fix guard_bio_eod to check for real EOD errors  [Carlos Maiolino]
57b1fea  cifs: Fix NULL pointer dereference of devname  [Yao Liu]
c37cbd6  dm thin: add sanity checks to thin-pool and external snapshot creation  [Jason Cai (Xiang Feng)]
80069b8  cifs: use correct format characters  [Louis Taylor]
04f206d  ocfs2: fix a panic problem caused by o2cb_ctl  [Jia Guo]
8550bb9  mm/slab.c: kmemleak no scan alien caches  [Qian Cai]
41423b9  mm/vmalloc.c: fix kernel BUG at mm/vmalloc.c:512!  [Uladzislau Rezki (Sony)]
f80c474  mm/cma.c: cma_declare_contiguous: correct err handling  [Peng Fan]
ce72482  sysctl: handle overflow for file-max  [Christian Brauner]
1513b4f  tracing: kdb: Fix ftdump to not sleep  [Douglas Anderson]
40051e7  i2c: core-smbus: prevent stack corruption on read I2C_BLOCK_DATA  [Jeremy Compostella]
83b167a  ext4: cleanup bh release code in ext4_ind_remove_space()  [zhangyi (F)]
b77815c  Linux 3.18.138  [Greg Kroah-Hartman]
032672b  arm64: support keyctl() system call in 32-bit mode  [Eric Biggers]
6516e62  ARM: imx6q: cpuidle: fix bug that CPU might not wake up at expected time  [Kohji Okuno]
70fd16c  xhci: Fix port resume done detection for SS ports with LPM enabled  [Mathias Nyman]
ec40ada  KVM: Reject device ioctls from processes other than the VM's creator  [Sean Christopherson]
7dd42fb  gpio: adnp: Fix testing wrong value in adnp_gpio_direction_input  [Axel Lin]
f19d910  fs/proc/proc_sysctl.c: fix NULL pointer dereference in put_links  [YueHaibing]
ada3b0b  Disable kgdboc failed by echo space to /sys/module/kgdboc/parameters/kgdboc  [Wentao Wang]
48a9b19  USB: serial: mos7720: fix mos_parport refcount imbalance on error path  [Lin Yi]
f2adc3c  USB: serial: ftdi_sio: add additional NovaTech products  [George McCollister]
5e32a51  USB: serial: cp210x: add new device id  [Greg Kroah-Hartman]
42867f1  serial: max310x: Fix to avoid potential NULL pointer dereference  [Aditya Pakki]
85d7b1b  scsi: zfcp: fix scsi_eh host reset with port_forced ERP for non-NPIV FCP devices  [Steffen Maier]
99bee33  ALSA: pcm: Don't suspend stream in unrecoverable PCM state  [Takashi Iwai]
fcc331c  ALSA: pcm: Fix possible OOB access in PCM oss plugins  [Takashi Iwai]
b4eaf68  mac8390: Fix mmio access size probe  [Finn Thain]
5415e60  sctp: get sctphdr by offset in sctp_compute_cksum  [Xin Long]
c905f4e  tcp: do not use ipv6 header for ipv4 flow  [Eric Dumazet]
87188fe  packets: Always register packet sk in the same order  [Maxime Chevallier]
34cbdbc  Add hlist_add_tail_rcu() (Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net)  [David S. Miller]
9f11b72  net: rose: fix a possible stack overflow  [Eric Dumazet]
e7605ab  net/packet: Set __GFP_NOWARN upon allocation in alloc_pg_vec  [Christoph Paasch]
fe2ffc1  mISDN: hfcpci: Test both vendor & device ID for Digium HFC4S  [Bjorn Helgaas]
43461e6  dccp: do not use ipv6 header for ipv4 flow  [Eric Dumazet]
795b40a  cfg80211: size various nl80211 messages correctly  [Johannes Berg]
6b11589  mmc: mmc: fix switch timeout issue caused by jiffies precision  [Chaotian Jing]
d0f4fe2  arm64: kconfig: drop CONFIG_RTC_LIB dependency  [Ezequiel Garcia]
0e6150a  video: fbdev: Set pixclock = 0 in goldfishfb  [Christoffer Dall]
734e789  usb: gadget: configfs: add mutex lock before unregister gadget  [Winter Wang]
8181ada  ipv6: fix endianness error in icmpv6_err  [Hannes Frederic Sowa]
598a6f0  arm64: kernel: Include _AC definition in page.h  [James Morse]
f5937bc  arm64/kernel: fix incorrect EL0 check in inv_entry macro  [Ard Biesheuvel]
337dba6  ARM: 8510/1: rework ARM_CPU_SUSPEND dependencies  [Lorenzo Pieralisi]
a45a1ec  staging: goldfish: audio: fix compiliation on arm  [Greg Hackmann]
730c01a  staging: ion: Set minimum carveout heap allocation order to PAGE_SHIFT  [Rajmal Menariya]
8169d0a  staging: ashmem: Add missing include  [Rom Lemarchand]
d9a7907  staging: ashmem: Avoid deadlock with mmap/shrink  [Laura Abbott]
9702dad  asm-generic: Fix local variable shadow in __set_fixmap_offset  [Mark Rutland]
50560c4  android: unconditionally remove callbacks in sync_fence_free()  [Dmitry Torokhov]
bcc5261  ARM: 8458/1: bL_switcher: add GIC dependency  [Arnd Bergmann]
e591a66  arm64: fix COMPAT_SHMLBA definition for large pages  [Yury Norov]
c138518  mmc: block: Allow more than 8 partitions per card  [Colin Cross]
bcb7c9b  Bluetooth: Verify that l2cap_get_conf_opt provides large enough buffer  [Marcel Holtmann]
ac35090  Bluetooth: Check L2CAP option sizes returned from l2cap_get_conf_opt  [Marcel Holtmann]
095daba  media: v4l2-ctrls.c/uvc: zero v4l2_event  [Hans Verkuil]
97e668e  mmc: tmio_mmc_core: don't claim spurious interrupts  [Sergei Shtylyov]
7248e08  ext4: brelse all indirect buffer in ext4_ind_remove_space()  [zhangyi (F)]
8b3f41c  ext4: fix data corruption caused by unaligned direct AIO  [Lukas Czerner]
b2f8c5b  ext4: fix NULL pointer dereference while journal is aborted  [Jiufei Xue]
73edf70  futex: Ensure that futex address is aligned in handle_futex_death()  [Chen Jie]
6834de4  udf: Fix crash on IO error during truncate  [Jan Kara]
c597acc  Linux 3.18.137  [Greg Kroah-Hartman]
4172417  tmpfs: fix uninitialized return value in shmem_link  [Darrick J. Wong]
a5c0d19  drm/radeon/evergreen_cs: fix missing break in switch statement  [Gustavo A. R. Silva]
3e08ae6  media: uvcvideo: Avoid NULL pointer dereference at the end of streaming  [Sakari Ailus]
0c719de  md: Fix failed allocation of md_register_thread  [Aditya Pakki]
e4f3b05  nfsd: fix wrong check in write_v4_end_grace()  [Yihao Wu]
fc4a17c  nfsd: fix memory corruption caused by readdir  [NeilBrown]
c0dbac8  ARM: s3c24xx: Fix boolean expressions in osiris_dvs_notify  [Gustavo A. R. Silva]
e1f8ce9  powerpc/83xx: Also save/restore SPRG4-7 during suspend  [Christophe Leroy]
3f5e7b6  powerpc/powernv: Make opal log only readable by root  [Jordan Niethe]
ed7eca8  powerpc/wii: properly disable use of BATs when requested.  [Christophe Leroy]
9fa2b40  powerpc/32: Clear on-stack exception marker upon exception return  [Christophe Leroy]
467f92c7  jbd2: clear dirty flag when revoking a buffer from an older transaction  [zhangyi (F)]
9714511  parport_pc: fix find_superio io compare code, should use equal test.  [QiaoChong]
4e7c815  kernel/sysctl.c: add missing range check in do_proc_dointvec_minmax_conv  [Zev Weiss]
1ffd305  mm/vmalloc: fix size check for remap_vmalloc_range_partial()  [Roman Penyaev]
7fc2a6c  ext2: Fix underflow in ext2_max_size()  [Jan Kara]
0b23ef6  ext4: fix crash during online resizing  [Jan Kara]
10c47d1  cpufreq: pxa2xx: remove incorrect __init annotation  [Arnd Bergmann]
e54af78c  crypto: pcbc - remove bogus memcpy()s with src == dest  [Eric Biggers]
770970e  Btrfs: fix corruption reading shared and compressed extents after hole punching  [Filipe Manana]
15ad6e2  m68k: Add -ffreestanding to CFLAGS  [Finn Thain]
7ababef  scsi: target/iscsi: Avoid iscsit_release_commands_from_conn() deadlock  [Bart Van Assche]
33be152  scsi: virtio_scsi: don't send sc payload with tmfs  [Felipe Franciosi]
d1ba092  regulator: s2mpa01: Fix step values for some LDOs  [Stuart Menefy]
cdf63cf  regulator: s2mps11: Fix steps for buck7, buck8 and LDO35  [Krzysztof Kozlowski]
af1e6d0  CIFS: Fix read after write for files with read caching  [Pavel Shilovsky]
5bae201  net: set static variable an initial value in atl2_probe()  [Mao Wenan]
5615781  tmpfs: fix link accounting when a tmpfile is linked in  [Darrick J. Wong]
c20acd4  arm64: Relax GIC version check during early boot  [Vladimir Murzin]
